Poser Unique ID,Poser No,Chapter,Poser Text,Dais Conclusion,Resource Material
UID-111,5.1,5. FEMA Regulations,"Can an Indian resident individual open a foreign currency account outside India without RBI permission?","Yes, an Indian resident can open, hold, and maintain a foreign currency account abroad for making remittances under the Liberalised Remittance Scheme (LRS), up to the prescribed limit (currently USD 250,000 per financial year).","Foreign Exchange Management (Foreign Currency Accounts by a Person Resident in India) Regulations, 2015."
UID-112,5.2,5. FEMA Regulations,"What is the maximum penalty for a contravention under the Foreign Exchange Management Act (FEMA)?","The penalty can be up to three times the sum involved in the contravention where the amount is quantifiable, or up to two lakh rupees where the amount is not quantifiable. A continuing penalty of five thousand rupees per day may also apply.","Section 13 of the Foreign Exchange Management Act, 1999."
UID-113,6.1,6. Independent Directors,"Can an individual serve as an independent director in 10 different public limited companies simultaneously?","No. An individual cannot serve as an independent director in more than seven listed entities. If the individual is a whole-time director in any listed entity, they can serve as an independent director in a maximum of three listed entities.","Regulation 17A of SEBI (LODR) Regulations, 2015."
UID-114,6.2,6. Independent Directors,"Is a separate meeting of only independent directors required by law?","Yes. The independent directors of the company must hold at least one meeting in a financial year, without the attendance of non-independent directors and members of management.","Schedule IV, Part VII of the Companies Act, 2013."
UID-115,7.1,7. Related Party,"If a transaction is deemed a 'Related Party Transaction' but is carried out at 'arm's length' and in the ordinary course of business, does it require shareholder approval?","No, shareholder approval under Section 188 of the Companies Act is not required if the transaction is in the ordinary course of business and on an arm's length basis. However, Audit Committee approval is still required.","Section 188(1) Proviso of the Companies Act, 2013."
UID-116,7.2,7. Related Party,"Who cannot vote on a special resolution to approve a related party transaction in a general meeting?","Any member of the company who is a related party in the context of the specific contract or arrangement being voted upon cannot vote on such a resolution.","Section 188(1) Second Proviso of the Companies Act, 2013."
UID-117,8.1,8. Auditors,"Can a statutory auditor of a company also provide investment banking services to the same company?","No. Statutory auditors are strictly prohibited from providing certain non-audit services to the company, its holding company, or its subsidiary company. Investment banking services fall under this prohibited list.","Section 144 of the Companies Act, 2013."
UID-118,8.2,8. Auditors,"What is the maximum tenure for an individual auditor in a listed company?","An individual auditor cannot be appointed or re-appointed for more than one term of five consecutive years. An audit firm can be appointed for two terms of five consecutive years.","Section 139(2) of the Companies Act, 2013."
UID-119,9.1,9. Dividends,"Can a company declare dividends out of its capital reserves if it has incurred a loss in the current financial year?","No. Dividends can only be declared out of free reserves (profits available for distribution) subject to fulfilling specific conditions like setting off past losses and depreciation. Capital reserves cannot be used.","Section 123 of the Companies Act, 2013 and Companies (Declaration and Payment of Dividend) Rules, 2014."
UID-120,9.2,9. Dividends,"Once a dividend is declared at an AGM, can it be revoked by the Board of Directors?","No. Once a dividend is validly declared by the shareholders at an AGM, it becomes a debt payable by the company to the shareholders and cannot be revoked by the Board under any circumstances.","Precedent law: Hanuman Prasad Gupta v. Hiralal (1970)."
